Primary_Coach,Games,Avg_Difference,Std_Difference,Min_Difference,Max_Difference,Avg_Actual_Win_Pct,Avg_Predicted_Win_Pct
John North,2,0.0972,0.0052,0.0936,0.1009,0.3571,0.2599
Nick Skorich,4,0.0792,0.0673,-0.016,0.135,0.5536,0.4744
Brian Flores,3,0.0656,0.0073,0.0591,0.0735,0.489,0.4234
Tony Sparano,3,0.0637,0.0061,0.0582,0.0702,0.5208,0.4572
Adam Gase,5,0.0592,0.0644,-0.0388,0.1272,0.4,0.3408
Ed Khayat,3,0.0557,0.0548,-0.0075,0.0891,0.3691,0.3133
Jim Caldwell,7,0.0533,0.081,-0.0701,0.1886,0.5536,0.5003
Tom Cable,2,0.0515,0.0685,0.0031,0.1,0.4062,0.3547
Red Miller,4,0.0515,0.038,0.0173,0.1054,0.6518,0.6003
Mike Munchak,3,0.0498,0.0985,-0.0633,0.1173,0.4583,0.4086
Frank Kush,2,0.0496,0.0014,0.0486,0.0506,0.25,0.2004
Raheem Morris,4,0.0486,0.0485,-0.0053,0.1061,0.3833,0.3347
Sean McDermott,8,0.0476,0.0826,-0.0533,0.1679,0.6558,0.6082
Dave McGinnis,4,0.0466,0.0423,0.008,0.0995,0.2969,0.2503
Ray Rhodes,5,0.045,0.0446,-0.0186,0.1074,0.4687,0.4237
Butch Davis,4,0.0448,0.0686,-0.0129,0.1439,0.3906,0.3458
John Mazur,3,0.0448,0.047,0.0059,0.0971,0.2857,0.2409
Mike Vrabel,6,0.0446,0.0235,0.0106,0.0699,0.5472,0.5026
John Madden,9,0.0441,0.0624,-0.0601,0.1711,0.7371,0.693
Mike McDaniel,3,0.0434,0.0062,0.0383,0.0502,0.549,0.5057
DeMeco Ryans,2,0.0413,0.0253,0.0234,0.0592,0.5882,0.5469
Shane Steichen,2,0.0409,0.0044,0.0378,0.0441,0.5,0.4591
Joe Walton,7,0.0395,0.057,-0.0453,0.1416,0.4812,0.4418
Vince Tobin,4,0.0379,0.0858,-0.0793,0.127,0.4062,0.3683
Kevin O'Connell,3,0.0376,0.0711,-0.0429,0.0917,0.6667,0.6291
Mike Nolan,4,0.0367,0.0201,0.0208,0.063,0.3594,0.3226
Chuck Pagano,6,0.0351,0.0535,-0.0463,0.1089,0.5521,0.517
Joe Gibbs,16,0.0328,0.0613,-0.1142,0.1543,0.6287,0.5959
Matt Nagy,4,0.0327,0.035,-0.0016,0.0689,0.5257,0.493
Dick Jauron,10,0.0316,0.0381,-0.0368,0.0791,0.4188,0.3872
Al Saunders,4,0.0311,0.0951,-0.0638,0.1157,0.3521,0.321
Raymond Berry,7,0.0299,0.0371,-0.0202,0.102,0.5583,0.5285
Jay Gruden,5,0.0283,0.0703,-0.0481,0.1074,0.4437,0.4154
Sam Rutigliano,6,0.0279,0.0388,-0.0374,0.0659,0.5116,0.4836
Jeff Fisher,14,0.0266,0.066,-0.0782,0.1628,0.5625,0.5359
Ron Meyer,6,0.0264,0.0485,-0.0321,0.0901,0.5259,0.4996
Bart Starr,9,0.0262,0.0482,-0.0531,0.1008,0.4141,0.3879
Lou Holtz,2,0.0245,0.001,0.0238,0.0253,0.2143,0.1898
Vic Fangio,3,0.0235,0.0113,0.0139,0.036,0.3873,0.3638
Lou Saban,5,0.0235,0.0677,-0.0694,0.0865,0.5143,0.4908
Jimmy Johnson,9,0.023,0.0438,-0.0391,0.0978,0.5556,0.5325
Don Shula,27,0.0216,0.0449,-0.0571,0.1066,0.6545,0.6329
Jim Dooley,2,0.0215,0.0361,-0.004,0.047,0.4286,0.4071
Jim Mora,4,0.0214,0.0794,-0.0527,0.1332,0.4844,0.4629
Art Shell,8,0.0208,0.0401,-0.0587,0.0638,0.5078,0.487
Lovie Smith,12,0.0207,0.0549,-0.0877,0.0751,0.4807,0.46
Bum Phillips,5,0.0207,0.0172,0.0037,0.0404,0.3889,0.3682
Dirk Koetter,3,0.0202,0.043,-0.0241,0.0618,0.3958,0.3756
Kevin Stefanski,5,0.0201,0.0486,-0.0531,0.0743,0.4787,0.4586
Sean Payton,17,0.0201,0.0516,-0.0877,0.11,0.6192,0.5991
Dan Campbell,5,0.0195,0.0397,-0.0101,0.0887,0.5397,0.5202
Dan Reeves,23,0.0194,0.0638,-0.1066,0.1296,0.5306,0.5112
Steve Spurrier,2,0.0191,0.0412,-0.0101,0.0482,0.375,0.3559
Brian Daboll,3,0.0183,0.0758,-0.0539,0.0973,0.3627,0.3444
Jack Del Rio,12,0.0177,0.0755,-0.1287,0.1267,0.4948,0.4771
Jim Fassel,7,0.0167,0.0517,-0.0741,0.0737,0.5223,0.5056
Ben McAdoo,2,0.0167,0.0436,-0.0141,0.0475,0.4375,0.4208
Bobby Ross,10,0.0163,0.0616,-0.0899,0.0839,0.5438,0.5275
Andy Reid,26,0.0163,0.0672,-0.0866,0.1612,0.6501,0.6338
Bruce Arians,8,0.0159,0.0908,-0.1045,0.1451,0.6229,0.6071
Bill O'Brien,7,0.0149,0.0734,-0.0679,0.1246,0.5,0.4851
Romeo Crennel,6,0.0146,0.0607,-0.0616,0.0862,0.3438,0.3292
Tom Landry,19,0.0139,0.0431,-0.059,0.0988,0.6574,0.6435
John Fox,16,0.0135,0.0541,-0.1059,0.0885,0.5195,0.506
Leslie Frazier,3,0.0135,0.0861,-0.0855,0.0706,0.3854,0.3719
Jack Pardee,6,0.0132,0.0583,-0.0824,0.0695,0.4881,0.4749
Matt LaFleur,6,0.0131,0.0719,-0.0942,0.0908,0.6728,0.6597
Nick Sirianni,4,0.0127,0.0563,-0.0681,0.0601,0.7059,0.6932
Gary Kubiak,10,0.0121,0.097,-0.1418,0.1165,0.5125,0.5004
Mike Sherman,6,0.0118,0.0904,-0.0804,0.1246,0.5938,0.5819
Darrell Bevell,2,0.0117,0.0212,-0.0033,0.0267,0.2445,0.2328
Kyle Shanahan,8,0.0116,0.0437,-0.0319,0.0894,0.528,0.5165
Kay Stephenson,2,0.0116,0.0805,-0.0453,0.0686,0.3125,0.3009
John McVay,3,0.0114,0.1014,-0.101,0.0959,0.3155,0.3041
Ray Malavasi,11,0.0114,0.0553,-0.0959,0.0655,0.5234,0.512
Nick Saban,2,0.0106,0.0704,-0.0391,0.0604,0.4688,0.4581
Dick MacPherson,2,0.0104,0.0445,-0.0211,0.0418,0.25,0.2396
Ron Rivera,12,0.0096,0.0638,-0.1115,0.105,0.5044,0.4948
Dick LeBeau,2,0.0087,0.1328,-0.0852,0.1026,0.25,0.2413
Ray Handley,2,0.0087,0.0256,-0.0094,0.0268,0.4375,0.4288
Marv Levy,16,0.0086,0.063,-0.1208,0.1127,0.5617,0.5531
Ted Marchibroda,7,0.0085,0.097,-0.1346,0.1749,0.4152,0.4067
Bill Belichick,29,0.0082,0.059,-0.0961,0.1186,0.6481,0.6399
Chris Palmer,2,0.0079,0.0262,-0.0106,0.0265,0.1562,0.1483
Vance Joseph,2,0.0077,0.0323,-0.0152,0.0305,0.3438,0.3361
John Harbaugh,17,0.0076,0.0527,-0.1073,0.1177,0.6231,0.6155
Marvin Lewis,16,0.0075,0.0577,-0.0864,0.097,0.5176,0.5101
Gus Bradley,3,0.0058,0.0849,-0.087,0.0795,0.25,0.2442
George Allen,9,0.0055,0.0538,-0.0723,0.1027,0.6865,0.6811
Jim Harbaugh,5,0.0053,0.0317,-0.0295,0.0489,0.6857,0.6804
Ray Perkins,9,0.0051,0.0458,-0.0802,0.0725,0.3637,0.3586
Pete Carroll,18,0.0049,0.0664,-0.1036,0.1553,0.5869,0.582
Wade Phillips,8,0.0048,0.0488,-0.0838,0.0765,0.6094,0.6046
Matt Rhule,3,0.0047,0.0673,-0.0695,0.0618,0.3395,0.3348
Tom Flores,12,0.0047,0.0855,-0.1357,0.1245,0.5394,0.5346
Tom Coughlin,20,0.0047,0.0824,-0.1924,0.0991,0.5312,0.5265
Mike Tomlin,18,0.0042,0.0637,-0.1151,0.1153,0.631,0.6269
Lane Kiffin,2,0.0038,0.0332,-0.0197,0.0273,0.2812,0.2774
Tony Dungy,13,0.0037,0.0519,-0.0893,0.0828,0.6683,0.6646
John Ralston,5,0.0035,0.0449,-0.0607,0.0614,0.5071,0.5036
Dennis Green,13,0.0033,0.0468,-0.0536,0.1067,0.5433,0.5399
Wayne Fontes,8,0.003,0.0928,-0.1038,0.1598,0.5,0.497
Robert Saleh,3,0.0024,0.0757,-0.0553,0.0882,0.353,0.3506
Mike Zimmer,8,0.0024,0.0667,-0.0704,0.0864,0.5627,0.5603
Forrest Gregg,10,0.0021,0.0627,-0.1178,0.0899,0.4814,0.4794
Mike Ditka,14,0.0018,0.0663,-0.0917,0.1283,0.5539,0.5521
Norm Van Brocklin,4,0.0018,0.0595,-0.0585,0.0767,0.5089,0.5072
Chuck Fairbanks,6,0.0016,0.0498,-0.0716,0.0585,0.5312,0.5296
Eric Mangini,5,0.0009,0.0592,-0.0577,0.0724,0.4125,0.4116
Mike Holmgren,17,0.0005,0.0701,-0.1589,0.1091,0.5919,0.5914
Bill Parcells,19,0.0,0.0565,-0.1182,0.1145,0.5688,0.5687
Bud Grant,15,-0.0001,0.0471,-0.1103,0.05,0.6332,0.6333
Marty Schottenheimer,21,-0.0003,0.0649,-0.1191,0.0944,0.6017,0.602
Todd Haley,2,-0.0005,0.0548,-0.0392,0.0382,0.4375,0.438
Arthur Smith,3,-0.0007,0.0232,-0.0274,0.0146,0.4118,0.4125
Joe Judge,2,-0.0009,0.0411,-0.03,0.0282,0.3052,0.306
Jim Haslett,6,-0.0016,0.0472,-0.0447,0.0863,0.4688,0.4704
Chip Kelly,4,-0.0017,0.0852,-0.0924,0.1056,0.4531,0.4549
Hank Stram,7,-0.0024,0.0261,-0.0425,0.0347,0.4745,0.4769
Paul Brown,6,-0.0028,0.0531,-0.0564,0.0856,0.5714,0.5742
John Robinson,14,-0.0031,0.0403,-0.0998,0.0348,0.5438,0.5468
Dennis Allen,5,-0.0034,0.0294,-0.0535,0.0194,0.3257,0.3292
Walt Michaels,6,-0.0038,0.0807,-0.0757,0.1408,0.4645,0.4683
Mike McCarthy,17,-0.0039,0.0735,-0.1742,0.107,0.6175,0.6214
Frank Gansz,2,-0.004,0.0154,-0.0148,0.0069,0.274,0.2779
Mike Tice,4,-0.0045,0.1202,-0.0959,0.1607,0.5,0.5045
Chuck Knox,27,-0.0045,0.0398,-0.0852,0.0646,0.6025,0.607
Kliff Kingsbury,4,-0.005,0.0293,-0.0455,0.0226,0.4316,0.4366
Mike Smith,7,-0.0054,0.0644,-0.1002,0.0709,0.5893,0.5947
Norv Turner,15,-0.0056,0.0625,-0.1144,0.1106,0.4812,0.4869
Dave Campo,3,-0.0057,0.0201,-0.0248,0.0152,0.3125,0.3182
Dave Wannstedt,11,-0.0058,0.0721,-0.1153,0.1283,0.483,0.4887
Jason Garrett,11,-0.0059,0.0648,-0.1117,0.101,0.5227,0.5286
Rex Ryan,7,-0.0061,0.0748,-0.0784,0.1099,0.4821,0.4883
J.D. Roberts,4,-0.007,0.0065,-0.0126,-0.0003,0.2232,0.2302
Rick Forzano,4,-0.0071,0.0912,-0.1004,0.0775,0.4643,0.4714
Bill Cowher,15,-0.0072,0.066,-0.089,0.1207,0.6229,0.6301
Brian Billick,9,-0.0087,0.0518,-0.1116,0.09,0.5556,0.5642
Doug Pederson,8,-0.0088,0.0536,-0.073,0.0758,0.4938,0.5026
Jerry Glanville,4,-0.0088,0.0619,-0.0431,0.0839,0.4219,0.4307
Chuck Noll,22,-0.0094,0.0623,-0.1544,0.0932,0.5915,0.6009
June Jones,4,-0.0103,0.0173,-0.0311,0.0043,0.375,0.3853
Neill Armstrong,4,-0.0104,0.0821,-0.1249,0.0672,0.4688,0.4792
Sam Wyche,12,-0.0107,0.1027,-0.1938,0.1536,0.4389,0.4496
Harland Svare,5,-0.0114,0.0162,-0.0333,0.0063,0.3072,0.3186
George Seifert,11,-0.0121,0.0961,-0.1445,0.1509,0.6477,0.6598
Don Coryell,9,-0.0136,0.0447,-0.0743,0.0522,0.5741,0.5877
Matt Patricia,2,-0.0146,0.0229,-0.0308,0.0016,0.2969,0.3115
Mike Shanahan,19,-0.0148,0.0557,-0.1386,0.0666,0.5559,0.5708
Alex Webster,4,-0.0151,0.0884,-0.1349,0.0721,0.4197,0.4347
Todd Bowles,8,-0.0151,0.0662,-0.1369,0.0607,0.4329,0.448
Marion Campbell,8,-0.0153,0.0588,-0.1073,0.0586,0.2878,0.3031
Jack Patera,8,-0.0159,0.0381,-0.1057,0.0152,0.3923,0.4083
Jim Tomsula,2,-0.0164,0.062,-0.0602,0.0275,0.3438,0.3601
Buddy Ryan,7,-0.0165,0.0315,-0.0678,0.0141,0.4997,0.5162
Dom Capers,8,-0.0166,0.0303,-0.071,0.0205,0.375,0.3916
Joe Philbin,4,-0.017,0.0412,-0.0727,0.0257,0.4609,0.4779
Steve Mariucci,8,-0.0173,0.0471,-0.1004,0.0548,0.5312,0.5486
Ken Whisenhunt,8,-0.0188,0.0371,-0.0616,0.0239,0.3906,0.4094
Dan Devine,4,-0.0195,0.0623,-0.0999,0.0402,0.4822,0.5017
Mike McCoy,4,-0.0196,0.0808,-0.118,0.068,0.4219,0.4415
Paul Wiggin,3,-0.0201,0.0133,-0.0316,-0.0055,0.2857,0.3058
Abe Gibron,3,-0.0206,0.0638,-0.0883,0.0384,0.2738,0.2944
John Mackovic,4,-0.0206,0.0713,-0.1022,0.0637,0.4688,0.4893
Jon Gruden,13,-0.0208,0.0674,-0.1675,0.0729,0.5096,0.5305
Darryl Rogers,4,-0.0211,0.0906,-0.146,0.0679,0.3167,0.3378
Gregg Williams,4,-0.0213,0.0157,-0.0421,-0.004,0.3828,0.4041
Tommy Prothro,8,-0.0216,0.0448,-0.07,0.0598,0.4464,0.468
Bill Walsh,10,-0.022,0.0885,-0.1707,0.0913,0.5981,0.6201
Lindy Infante,6,-0.023,0.1094,-0.1234,0.1684,0.375,0.398
Charley Winner,2,-0.0238,0.0051,-0.0273,-0.0202,0.3571,0.3809
Leeman Bennett,8,-0.0241,0.1146,-0.1698,0.1405,0.4288,0.4529
Chan Gailey,5,-0.0245,0.0707,-0.1387,0.0491,0.425,0.4495
Jerry Smith,2,-0.0246,0.003,-0.0267,-0.0225,0.3214,0.346
Bruce Coslet,9,-0.0252,0.0504,-0.0774,0.0534,0.3611,0.3863
Dennis Erickson,6,-0.0255,0.0624,-0.1076,0.063,0.4167,0.4422
Zac Taylor,6,-0.0262,0.0629,-0.1419,0.0382,0.4672,0.4934
Bill Johnson,4,-0.0274,0.0551,-0.0751,0.0394,0.4464,0.4739
Brad Childress,6,-0.0289,0.0311,-0.081,-0.0011,0.5,0.5289
Bill Callahan,3,-0.0293,0.0283,-0.0534,0.0019,0.375,0.4043
Weeb Ewbank,4,-0.0296,0.1045,-0.1432,0.0973,0.375,0.4046
Hue Jackson,3,-0.0298,0.0975,-0.0861,0.0827,0.1875,0.2173
Marc Trestman,2,-0.0299,0.0338,-0.0538,-0.006,0.4062,0.4361
Ernie Hefferle,2,-0.0307,0.0014,-0.0318,-0.0297,0.1429,0.1736
Mike White,2,-0.0309,0.0525,-0.068,0.0063,0.4688,0.4996
Dan Quinn,7,-0.0314,0.0578,-0.1352,0.0499,0.5205,0.5519
Rich Kotite,6,-0.0315,0.0676,-0.1029,0.081,0.4167,0.4482
Monte Clark,8,-0.0329,0.0424,-0.0875,0.0314,0.4356,0.4685
Rod Dowhower,3,-0.0333,0.0358,-0.0731,-0.0038,0.2292,0.2625
Barry Switzer,4,-0.0348,0.0446,-0.0993,0.0036,0.625,0.6598
Dick Nolan,9,-0.0351,0.0422,-0.1092,0.0157,0.4603,0.4954
Mike Pettine,2,-0.0361,0.0803,-0.0929,0.0207,0.3125,0.3486
David Shula,4,-0.0362,0.0707,-0.1242,0.0488,0.2812,0.3174
Anthony Lynn,5,-0.0367,0.077,-0.109,0.0691,0.5,0.5367
Mike Mularkey,5,-0.0375,0.0368,-0.0764,0.0216,0.425,0.4625
Doug Marrone,7,-0.0376,0.0304,-0.0733,0.0121,0.3571,0.3948
Joe Schmidt,3,-0.0389,0.0605,-0.1087,-0.0021,0.619,0.6579
Jonathan Gannon,2,-0.0402,0.0372,-0.0665,-0.0139,0.353,0.3932
Bud Carson,2,-0.0414,0.0533,-0.079,-0.0037,0.3906,0.432
Dick Vermeil,12,-0.0444,0.0832,-0.1754,0.0753,0.5293,0.5737
Mike McCormack,3,-0.0447,0.0313,-0.0806,-0.024,0.3929,0.4376
Rod Marinelli,3,-0.0452,0.0868,-0.0958,0.0551,0.2083,0.2535
John McKay,9,-0.0458,0.0566,-0.1277,0.0455,0.338,0.3839
Gunther Cunningham,2,-0.0473,0.0719,-0.0982,0.0035,0.5,0.5473
Frank Reich,5,-0.0476,0.0469,-0.1239,-0.0023,0.5088,0.5564
Herm Edwards,8,-0.0476,0.045,-0.1248,-0.0007,0.4219,0.4695
Jim Schwartz,5,-0.0488,0.0459,-0.1143,-0.0127,0.3625,0.4113
Fred Bruney,2,-0.0497,0.0154,-0.0606,-0.0388,0.4375,0.4872
Hank Bullough,3,-0.0513,0.008,-0.0598,-0.0439,0.2083,0.2597
Jerry Burns,6,-0.0521,0.0578,-0.1322,0.0179,0.5472,0.5993
Mike Riley,3,-0.0537,0.1432,-0.1627,0.1085,0.2917,0.3454
Dan Henning,7,-0.0546,0.0567,-0.1197,0.0411,0.3438,0.3984
Jim Ringo,3,-0.0573,0.079,-0.1117,0.0333,0.1667,0.224
Brandon Staley,3,-0.0623,0.0716,-0.1353,0.0078,0.4706,0.5329
Jim Zorn,2,-0.0636,0.0603,-0.1062,-0.0209,0.375,0.4386
Marty Mornhinweg,2,-0.0668,0.017,-0.0788,-0.0548,0.1562,0.2231
Matt Eberflus,3,-0.0848,0.0125,-0.0964,-0.0716,0.2941,0.379
Ron Erhardt,3,-0.0889,0.0759,-0.1764,-0.0416,0.4375,0.5264
Pat Shurmur,4,-0.0906,0.009,-0.0979,-0.079,0.2812,0.3719
Rick Venturi,2,-0.0965,0.0052,-0.1002,-0.0928,0.125,0.2215
Greg Schiano,2,-0.104,0.0276,-0.1235,-0.0844,0.3438,0.4477
