PFR_Team,Year,Total CapAllocations_Pct,Cap SpaceAll_Pct,Active53-Man_Pct,ReservesIR/PUP/NFI/SUSP_Pct,DeadCap_Pct
ATL,2011,104.85,-4.85,96.93,4.18,3.42
BUF,2011,90.97,25.06,58.19,21.93,10.85
CAR,2011,101.28,1.05,97.03,1.48,2.77
CHI,2011,89.88,16.55,83.76,0.0,6.11
CIN,2011,90.38,22.09,83.34,2.81,3.98
CLE,2011,87.57,19.89,80.95,1.87,4.59
CLT,2011,100.32,1.76,94.87,2.93,2.44
CRD,2011,98.45,3.21,92.24,2.17,3.97
DAL,2011,88.95,25.29,75.03,0.0,13.84
DEN,2011,90.91,30.69,79.45,0.0,11.46
DET,2011,101.73,-0.65,100.17,0.48,1.08
GNB,2011,96.42,7.9,93.58,0.0,2.67
HTX,2011,101.47,-1.47,93.83,2.57,4.98
JAX,2011,75.28,50.47,69.48,2.49,3.07
KAN,2011,86.79,33.15,85.49,0.62,0.52
MIA,2011,110.54,-3.15,94.45,0.0,15.69
MIN,2011,102.89,-1.27,92.71,7.51,2.34
NOR,2011,89.49,14.01,82.88,0.19,6.43
NWE,2011,95.75,9.79,87.28,0.73,6.98
NYG,2011,103.89,-3.01,101.15,0.24,2.5
NYJ,2011,103.83,2.98,94.98,0.0,8.84
OTI,2011,94.38,12.36,89.62,0.0,4.77
PHI,2011,104.48,4.57,98.25,0.44,5.4
PIT,2011,106.8,-6.38,96.42,7.6,2.78
RAI,2011,91.93,10.56,87.75,3.42,0.69
RAM,2011,91.31,11.59,88.67,0.67,1.73
RAV,2011,100.06,4.75,88.89,7.32,3.3
SDG,2011,97.3,2.7,87.76,7.6,1.78
SEA,2011,90.81,26.72,73.55,0.0,17.13
SFO,2011,95.84,17.86,89.04,0.0,6.65
TAM,2011,72.88,46.64,67.67,0.0,5.14
WAS,2011,104.71,6.5,83.79,6.67,14.25
ATL,2012,105.87,-5.87,85.44,13.3,6.89
BUF,2012,109.85,-9.85,65.91,26.04,17.9
CAR,2012,105.44,-5.44,75.59,24.76,5.09
CHI,2012,104.19,-4.19,90.46,9.24,4.49
CIN,2012,98.0,2.0,75.34,14.57,7.92
CLE,2012,105.42,-5.42,85.92,13.65,5.84
CLT,2012,100.75,-0.75,62.52,8.26,29.97
CRD,2012,97.68,2.32,73.61,15.69,8.38
DAL,2012,110.33,-10.33,81.52,7.67,21.13
DEN,2012,111.02,-11.02,96.51,7.48,7.03
DET,2012,110.17,-10.17,95.94,13.62,0.61
GNB,2012,101.25,-1.25,88.11,9.41,3.65
HTX,2012,104.48,-4.48,83.54,6.89,13.9
JAX,2012,104.54,-4.54,79.0,18.0,7.41
KAN,2012,119.37,-19.37,94.64,19.7,5.03
MIA,2012,101.87,-1.87,74.66,17.0,10.03
MIN,2012,96.88,3.12,84.5,2.36,9.54
NOR,2012,98.26,1.74,80.73,12.55,4.98
NWE,2012,107.43,-7.43,85.04,6.3,16.03
NYG,2012,103.63,-3.63,94.51,5.1,4.02
NYJ,2012,110.13,-10.13,85.0,20.11,5.02
OTI,2012,95.9,4.1,75.33,18.32,2.25
PHI,2012,97.36,2.64,73.64,15.75,7.8
PIT,2012,103.7,-3.7,77.12,17.79,8.64
RAI,2012,93.78,6.22,65.94,10.37,17.47
RAM,2012,99.14,0.86,80.36,6.81,11.47
RAV,2012,107.67,-7.67,83.97,13.69,9.63
SDG,2012,104.47,-4.47,78.3,17.93,8.24
SEA,2012,105.3,-5.3,77.4,8.84,19.06
SFO,2012,115.43,-15.43,107.49,5.45,1.85
TAM,2012,114.2,-14.2,79.61,30.97,3.62
WAS,2012,96.54,3.46,73.78,15.68,6.75
ATL,2013,98.88,1.35,72.64,12.29,13.88
BUF,2013,93.16,15.07,75.49,2.73,14.84
CAR,2013,89.73,13.3,59.24,15.69,14.74
CHI,2013,103.91,1.28,83.46,15.39,5.02
CIN,2013,102.8,6.45,75.19,21.02,6.58
CLE,2013,89.05,22.77,65.44,12.1,11.15
CLT,2013,104.41,-2.86,79.88,15.1,8.78
CRD,2013,97.12,6.08,74.73,7.43,14.93
DAL,2013,94.05,3.53,58.28,22.5,13.25
DEN,2013,107.98,5.99,78.61,20.02,9.32
DET,2013,96.9,2.28,77.56,7.28,12.0
GNB,2013,97.64,9.1,81.48,13.62,2.52
HTX,2013,100.18,1.88,62.65,31.95,5.51
JAX,2013,97.24,21.01,54.05,13.94,28.63
KAN,2013,110.54,1.19,92.88,2.1,15.4
MIA,2013,90.9,13.73,65.63,14.71,10.44
MIN,2013,104.33,1.58,94.98,5.75,2.95
NOR,2013,100.37,1.34,79.05,16.14,5.03
NWE,2013,100.35,5.03,68.6,17.96,13.7
NYG,2013,103.17,-2.29,75.0,20.74,7.12
NYJ,2013,99.48,3.78,65.24,15.32,18.8
OTI,2013,103.12,7.16,89.1,3.43,10.15
PHI,2013,102.75,16.52,87.42,5.38,9.76
PIT,2013,101.5,0.05,77.92,14.5,8.87
RAI,2013,98.03,5.36,45.84,7.41,44.5
RAM,2013,100.59,-0.86,56.41,31.88,11.86
RAV,2013,100.41,-0.1,84.12,2.1,14.17
SDG,2013,97.45,2.97,76.1,11.21,9.95
SEA,2013,108.2,3.3,82.12,19.01,6.78
SFO,2013,98.85,3.8,87.88,6.35,4.25
TAM,2013,103.33,6.15,74.43,17.07,11.66
WAS,2013,86.88,2.67,71.76,10.68,4.28
ATL,2014,100.01,2.06,77.86,13.36,8.32
BUF,2014,111.04,2.18,82.91,7.2,20.31
CAR,2014,100.3,3.97,66.18,13.34,20.37
CHI,2014,98.82,1.18,61.38,23.38,13.74
CIN,2014,98.98,7.53,87.07,7.54,3.87
CLE,2014,101.81,16.18,73.01,13.01,15.44
CLT,2014,93.03,7.24,71.88,16.36,4.44
CRD,2014,100.17,1.97,70.16,17.95,11.81
DAL,2014,97.92,2.74,65.94,10.38,21.28
DEN,2014,102.18,0.27,91.14,3.31,7.28
DET,2014,99.54,-0.13,84.43,7.6,7.05
GNB,2014,100.78,5.85,92.94,3.24,4.12
HTX,2014,99.28,1.82,73.61,9.46,15.78
JAX,2014,97.13,16.99,66.01,14.37,16.37
KAN,2014,99.79,1.32,72.57,19.88,7.07
MIA,2014,107.11,6.14,78.76,21.98,6.29
MIN,2014,97.76,2.64,66.2,24.56,6.59
NOR,2014,99.08,0.76,76.2,10.3,12.28
NWE,2014,100.99,3.6,82.68,3.93,14.03
NYG,2014,99.2,0.06,63.87,25.6,9.51
NYJ,2014,88.98,11.85,69.93,4.44,14.47
OTI,2014,95.94,8.5,68.28,17.73,9.54
PHI,2014,101.34,10.92,87.72,5.22,7.68
PIT,2014,99.21,1.73,85.71,2.99,10.1
RAI,2014,93.57,4.86,58.73,21.1,13.41
RAM,2014,98.52,0.6,68.78,23.01,6.32
RAV,2014,93.89,5.05,72.29,10.05,11.18
SDG,2014,100.93,0.67,71.3,16.83,12.36
SEA,2014,98.08,4.08,72.76,11.47,13.52
SFO,2014,98.88,2.99,73.78,17.12,7.68
TAM,2014,103.1,1.67,70.72,21.8,10.39
WAS,2014,99.56,-0.56,67.37,19.46,12.51
ATL,2015,95.08,6.99,69.6,9.8,15.68
BUF,2015,96.55,5.4,64.03,23.0,9.52
CAR,2015,101.36,2.89,84.45,6.13,10.73
CHI,2015,98.77,2.55,62.8,15.71,20.26
CIN,2015,100.44,5.73,93.59,3.47,3.38
CLE,2015,97.46,15.44,71.23,21.31,4.92
CLT,2015,100.09,6.3,75.53,14.6,9.95
CRD,2015,101.0,2.66,84.23,7.82,8.94
DAL,2015,96.19,7.51,55.92,26.85,13.41
DEN,2015,101.27,3.47,93.99,2.99,4.29
DET,2015,99.96,0.77,74.72,10.41,14.82
GNB,2015,99.01,6.71,87.35,7.84,3.79
HTX,2015,99.39,2.53,71.64,15.59,12.16
JAX,2015,95.01,22.58,75.06,13.26,6.69
KAN,2015,98.72,3.28,72.89,10.4,15.03
MIA,2015,101.12,5.62,63.21,16.58,21.33
MIN,2015,102.61,1.82,82.47,13.76,6.39
NOR,2015,99.95,1.31,65.3,10.33,24.33
NWE,2015,98.63,2.28,67.29,17.73,13.6
NYG,2015,89.56,10.53,54.92,23.75,10.89
NYJ,2015,106.79,2.19,94.56,6.47,5.76
OTI,2015,89.8,17.93,63.14,14.18,12.47
PHI,2015,104.92,6.66,86.47,4.91,13.54
PIT,2015,96.92,3.63,66.54,16.13,14.06
RAI,2015,95.67,10.33,65.85,18.17,11.65
RAM,2015,98.19,2.78,65.61,24.57,8.01
RAV,2015,98.56,2.73,45.73,36.07,16.76
SDG,2015,98.28,1.51,63.79,22.63,11.86
SEA,2015,102.85,0.62,80.15,8.76,13.7
SFO,2015,95.44,9.15,52.0,23.13,20.31
TAM,2015,93.22,7.92,60.46,15.1,17.66
WAS,2015,97.56,4.75,68.25,20.18,9.13
ATL,2016,99.07,3.21,72.53,9.76,16.76
BUF,2016,98.11,3.24,72.45,13.56,12.09
CAR,2016,89.67,12.08,63.76,17.42,8.49
CHI,2016,95.53,5.32,47.32,39.97,8.24
CIN,2016,100.73,4.05,78.14,20.03,2.56
CLE,2016,83.87,29.92,52.67,8.53,22.67
CLT,2016,98.2,5.23,73.43,13.63,11.07
CRD,2016,100.38,2.0,71.68,19.81,8.84
DAL,2016,98.37,4.2,89.76,6.53,2.08
DEN,2016,94.81,4.43,72.61,12.45,9.75
DET,2016,96.42,4.89,74.78,5.76,15.88
GNB,2016,99.32,5.95,86.58,9.73,3.0
HTX,2016,97.93,3.3,74.21,18.09,5.57
JAX,2016,96.9,25.66,70.64,22.97,3.29
KAN,2016,98.22,3.51,74.72,14.37,9.14
MIA,2016,97.5,9.91,63.46,22.76,11.28
MIN,2016,101.24,-0.18,76.72,19.67,4.86
NOR,2016,94.22,5.97,55.59,11.48,27.13
NWE,2016,95.11,7.71,75.75,8.07,11.29
NYG,2016,99.76,8.0,81.98,7.96,9.82
NYJ,2016,101.81,-0.36,62.71,28.23,10.87
OTI,2016,96.9,16.68,74.78,10.18,11.92
PHI,2016,97.87,6.19,76.65,5.64,15.57
PIT,2016,97.52,4.0,77.32,12.59,7.57
RAI,2016,105.84,2.57,91.93,7.98,5.92
RAM,2016,96.39,3.87,70.62,11.91,13.76
RAV,2016,97.22,2.72,74.61,12.73,9.88
SDG,2016,100.13,0.84,65.46,26.05,8.61
SEA,2016,96.8,2.72,77.44,10.19,9.12
SFO,2016,86.3,27.42,54.69,23.78,7.81
TAM,2016,100.29,3.49,77.69,18.52,4.06
WAS,2016,94.1,10.21,75.36,7.98,10.77
ATL,2017,99.59,0.95,88.26,6.26,5.07
BUF,2017,92.56,7.44,62.85,12.39,17.32
CAR,2017,105.06,2.68,86.44,11.35,7.26
CHI,2017,100.43,4.01,66.25,26.26,7.93
CIN,2017,96.82,6.7,76.7,17.64,2.48
CLE,2017,93.81,35.88,46.67,19.42,27.69
CLT,2017,93.58,10.96,54.05,23.02,16.51
CRD,2017,101.41,1.48,62.56,34.26,4.51
DAL,2017,95.69,5.46,68.54,11.14,15.96
DEN,2017,93.66,6.83,72.9,17.21,3.27
DET,2017,96.46,4.38,77.96,11.96,6.54
GNB,2017,100.89,3.94,69.22,24.44,7.23
HTX,2017,95.78,7.46,59.81,27.69,8.27
JAX,2017,102.57,20.7,90.93,4.88,6.76
KAN,2017,100.47,1.42,81.1,9.75,9.61
MIA,2017,102.96,0.02,61.36,29.6,12.0
MIN,2017,91.95,9.67,70.5,14.3,7.15
NOR,2017,96.84,0.86,58.54,22.55,15.34
NWE,2017,98.03,2.3,77.53,15.76,4.33
NYG,2017,100.26,0.17,62.63,31.59,6.04
NYJ,2017,86.77,13.29,58.93,15.4,12.44
OTI,2017,96.56,17.6,89.29,2.44,4.83
PHI,2017,103.33,2.26,78.22,13.39,11.73
PIT,2017,97.83,3.29,87.31,3.05,7.1
RAI,2017,98.47,5.85,86.45,9.39,2.63
RAM,2017,93.94,3.05,82.07,5.88,5.99
RAV,2017,95.13,2.72,67.2,14.76,13.17
SDG,2017,94.39,7.16,76.07,7.06,11.27
SEA,2017,100.22,1.04,75.82,19.96,4.4
SFO,2017,87.04,35.64,47.06,16.37,23.61
TAM,2017,92.07,11.26,74.91,12.79,4.33
WAS,2017,104.68,1.05,68.48,28.36,7.57
ATL,2018,98.0,2.63,79.76,13.06,5.18
BUF,2018,101.35,5.18,58.7,2.96,39.7
CAR,2018,104.11,-1.62,77.93,19.04,7.13
CHI,2018,101.28,3.02,85.75,6.83,8.69
CIN,2018,101.76,4.77,63.32,33.3,5.15
CLE,2018,102.68,30.57,80.39,7.66,14.63
CLT,2018,81.4,28.1,65.63,8.55,7.23
CRD,2018,97.58,3.32,60.9,13.98,22.7
DAL,2018,98.19,6.25,68.38,11.44,18.37
DEN,2018,102.49,3.27,64.75,22.52,15.23
DET,2018,99.04,3.3,61.84,23.29,13.91
GNB,2018,99.19,3.03,70.08,20.61,8.46
HTX,2018,97.12,8.5,79.31,9.06,8.74
JAX,2018,112.04,3.63,79.41,20.87,11.7
KAN,2018,99.83,1.64,81.24,5.69,12.9
MIA,2018,96.08,3.96,69.7,15.04,11.34
MIN,2018,110.95,-3.2,101.04,5.9,4.01
NOR,2018,99.33,0.83,78.4,8.01,12.85
NWE,2018,99.23,2.47,87.93,5.1,6.2
NYG,2018,96.49,3.72,66.33,5.39,24.77
NYJ,2018,99.77,10.0,61.54,23.57,14.67
OTI,2018,102.93,14.19,66.51,28.98,7.45
PHI,2018,96.82,3.48,76.82,11.59,8.41
PIT,2018,91.24,11.04,73.55,13.09,4.61
RAI,2018,100.94,3.36,65.04,19.54,16.36
RAM,2018,101.51,0.92,89.51,2.51,9.5
RAV,2018,96.24,5.61,84.74,3.25,8.24
SDG,2018,100.05,1.43,81.53,9.85,8.67
SEA,2018,98.89,1.42,70.46,15.41,12.83
SFO,2018,112.48,19.15,55.93,41.08,15.46
TAM,2018,107.17,1.41,89.03,11.83,6.3
WAS,2018,97.51,3.32,58.07,31.19,8.25
ATL,2019,115.22,-14.4,79.76,20.25,15.05
BUF,2019,92.88,13.61,81.2,2.68,9.0
CAR,2019,97.63,4.57,62.44,27.36,7.77
CHI,2019,97.16,6.39,74.89,16.69,5.58
CIN,2019,98.28,5.97,70.33,20.66,7.29
CLE,2019,113.05,17.18,82.97,12.92,17.15
CLT,2019,104.2,22.18,75.67,15.51,13.02
CRD,2019,102.03,0.84,62.88,12.03,27.04
DAL,2019,96.9,9.76,79.09,12.32,5.49
DEN,2019,96.83,6.76,55.95,23.92,16.96
DET,2019,93.85,9.45,49.69,36.11,8.04
GNB,2019,101.89,2.83,87.07,5.01,9.81
HTX,2019,105.26,8.61,77.48,13.23,14.55
JAX,2019,101.24,5.78,65.22,16.52,19.5
KAN,2019,88.47,12.44,71.83,5.51,11.13
MIA,2019,93.39,11.36,32.34,25.48,35.56
MIN,2019,101.5,0.43,94.14,2.89,4.45
NOR,2019,99.83,1.12,81.4,6.72,11.71
NWE,2019,103.61,2.86,83.23,6.7,13.67
NYG,2019,103.41,0.79,66.47,7.63,29.31
NYJ,2019,100.14,7.45,51.37,34.09,14.68
OTI,2019,104.72,11.05,81.18,16.18,7.36
PHI,2019,90.52,15.16,62.99,15.95,11.52
PIT,2019,109.67,0.26,68.94,22.43,18.3
RAI,2019,92.0,10.51,63.37,16.02,12.56
RAM,2019,96.16,4.48,86.26,2.61,7.23
RAV,2019,100.97,-1.23,74.13,10.71,16.09
SDG,2019,97.82,1.58,82.57,10.46,4.79
SEA,2019,98.24,6.32,69.61,14.59,14.0
SFO,2019,117.24,5.62,88.5,15.15,13.6
TAM,2019,98.27,5.32,79.79,12.61,5.79
WAS,2019,95.98,6.87,41.76,47.08,7.07
ATL,2020,100.57,1.3,83.83,1.42,15.19
BUF,2020,110.11,1.34,100.99,2.69,6.39
CAR,2020,102.95,2.24,60.19,15.42,27.28
CHI,2020,103.29,3.94,82.65,11.8,8.6
CIN,2020,99.72,5.45,58.26,31.58,9.84
CLE,2020,100.45,14.93,72.47,18.99,8.99
CLT,2020,116.74,4.3,94.78,13.14,8.76
CRD,2020,97.96,1.19,68.04,21.6,8.22
DAL,2020,96.51,13.35,54.81,28.42,13.28
DEN,2020,98.78,9.17,51.65,34.25,12.81
DET,2020,101.55,6.58,68.78,17.93,14.68
GNB,2020,100.85,2.05,83.63,12.71,4.41
HTX,2020,106.35,3.65,71.3,23.09,11.85
JAX,2020,92.98,11.79,44.34,21.09,25.17
KAN,2020,109.36,2.12,92.19,7.85,9.13
MIA,2020,102.3,7.55,78.96,3.61,19.68
MIN,2020,98.4,1.19,56.86,22.81,18.66
NOR,2020,97.92,1.98,81.42,5.13,11.37
NWE,2020,94.17,12.11,52.47,26.0,15.71
NYG,2020,97.18,2.43,75.47,10.95,10.77
NYJ,2020,92.08,12.4,43.66,21.35,27.04
OTI,2020,109.29,1.89,68.43,24.75,16.02
PHI,2020,101.21,10.85,70.71,18.51,11.93
PIT,2020,98.22,3.04,74.09,16.68,7.34
RAI,2020,108.05,2.96,83.71,18.67,5.66
RAM,2020,99.2,3.67,77.55,2.24,19.41
RAV,2020,96.36,3.49,68.47,16.53,11.31
SDG,2020,98.8,3.32,67.7,23.86,7.23
SEA,2020,101.36,-0.63,83.99,9.05,8.3
SFO,2020,102.25,2.03,51.01,42.81,8.41
TAM,2020,100.83,2.15,93.5,3.35,3.94
WAS,2020,97.44,8.05,66.55,15.01,15.75
ATL,2021,101.64,-0.27,77.31,7.18,16.62
BUF,2021,103.75,-0.53,90.72,6.02,5.42
CAR,2021,99.6,2.6,53.01,16.81,29.57
CHI,2021,103.42,0.76,70.48,18.12,14.41
CIN,2021,104.81,2.11,84.57,9.69,10.37
CLE,2021,111.04,5.08,69.3,25.5,15.89
CLT,2021,102.64,2.04,93.53,4.86,3.69
CRD,2021,104.73,0.5,84.37,11.18,8.61
DAL,2021,112.51,2.54,91.85,5.49,14.82
DEN,2021,103.2,6.83,58.78,23.84,20.35
DET,2021,107.72,0.62,41.93,28.71,36.77
GNB,2021,99.35,2.66,89.04,3.73,5.88
HTX,2021,102.37,4.19,63.42,12.41,26.31
JAX,2021,98.89,15.61,69.54,16.09,12.95
KAN,2021,101.43,1.82,87.87,3.31,9.75
MIA,2021,106.94,1.11,81.89,11.16,13.39
MIN,2021,103.35,-0.74,64.74,24.27,14.01
NOR,2021,101.54,0.1,59.0,15.39,26.91
NWE,2021,109.9,2.87,80.86,10.34,18.41
NYG,2021,100.01,1.63,66.79,22.37,10.42
NYJ,2021,112.73,2.66,48.32,43.42,19.64
OTI,2021,101.05,3.36,77.31,6.14,16.89
PHI,2021,103.66,9.76,55.68,12.59,34.94
PIT,2021,96.39,6.32,68.04,11.15,16.65
RAI,2021,104.07,0.16,70.96,12.57,20.01
RAM,2021,100.95,1.57,66.75,6.57,27.09
RAV,2021,100.15,0.15,62.03,26.97,10.79
SDG,2021,100.3,4.76,87.55,8.89,3.4
SEA,2021,94.63,6.15,75.59,10.95,7.63
SFO,2021,106.9,0.36,75.71,17.64,12.88
TAM,2021,99.24,0.51,81.7,10.59,6.13
WAS,2021,106.06,3.38,59.19,34.22,12.2
ATL,2022,96.89,3.33,45.39,10.42,40.15
BUF,2022,99.28,0.92,78.42,7.27,12.13
CAR,2022,97.14,5.33,61.55,9.4,25.2
CHI,2022,98.32,2.5,37.83,14.72,44.81
CIN,2022,100.96,0.96,84.1,8.13,7.59
CLE,2022,89.58,14.98,63.5,7.96,17.29
CLT,2022,98.85,3.4,70.68,19.58,7.71
CRD,2022,98.38,1.28,47.14,38.21,12.41
DAL,2022,103.43,2.38,77.66,8.98,15.72
DEN,2022,101.56,3.91,52.3,32.24,16.64
DET,2022,102.99,1.57,75.43,9.86,16.79
GNB,2022,101.75,1.71,78.07,7.9,14.73
HTX,2022,102.15,0.64,54.66,9.0,37.43
JAX,2022,111.06,1.31,76.84,16.28,16.74
KAN,2022,98.58,1.61,87.14,2.51,7.88
MIA,2022,100.17,1.94,71.94,18.32,8.88
MIN,2022,100.28,0.48,78.17,7.48,13.49
NOR,2022,99.34,-0.4,63.09,14.29,21.1
NWE,2022,99.91,1.05,77.39,12.48,8.93
NYG,2022,97.82,1.41,64.0,7.08,25.82
NYJ,2022,97.25,4.1,73.63,16.25,6.61
OTI,2022,100.77,0.53,37.92,50.3,11.92
PHI,2022,105.4,2.38,69.99,3.48,30.97
PIT,2022,101.18,2.18,76.18,6.32,17.54
RAI,2022,95.9,3.52,58.7,12.39,23.8
RAM,2022,96.19,0.4,54.52,28.03,12.8
RAV,2022,98.28,0.18,76.93,7.57,12.83
SDG,2022,101.89,1.76,84.21,11.37,5.32
SEA,2022,103.65,0.67,58.07,17.03,27.56
SFO,2022,98.98,3.08,77.95,9.07,10.69
TAM,2022,97.48,1.36,76.28,7.76,12.28
WAS,2022,99.94,2.85,76.89,11.17,10.75
ATL,2023,99.04,3.44,72.91,13.55,11.41
BUF,2023,101.71,-0.35,80.97,14.77,4.52
CAR,2023,103.55,2.39,60.7,14.41,27.66
CHI,2023,101.21,2.19,76.11,7.61,16.34
CIN,2023,96.02,4.79,76.01,16.75,1.98
CLE,2023,98.71,13.29,60.58,26.57,10.44
CLT,2023,99.59,3.69,67.01,8.76,22.87
CRD,2023,97.03,4.97,47.74,17.55,31.04
DAL,2023,98.8,4.81,82.52,5.9,9.1
DEN,2023,103.1,0.5,77.12,9.99,14.81
DET,2023,99.38,1.69,77.1,7.06,14.28
GNB,2023,97.0,3.89,53.69,12.3,29.91
HTX,2023,100.97,1.98,63.25,15.54,21.09
JAX,2023,96.88,3.98,86.31,4.56,4.74
KAN,2023,96.81,1.26,86.67,3.49,5.47
MIA,2023,99.63,0.77,76.88,12.6,9.05
MIN,2023,94.63,3.99,54.29,18.94,20.54
NOR,2023,98.1,1.62,61.4,20.01,15.65
NWE,2023,98.69,0.24,54.58,29.38,13.89
NYG,2023,99.39,2.75,57.8,15.53,25.11
NYJ,2023,99.0,2.68,64.05,21.41,12.91
OTI,2023,98.53,4.19,57.38,14.38,26.18
PHI,2023,103.29,1.14,71.19,2.59,28.41
PIT,2023,100.67,1.3,86.5,3.78,9.41
RAI,2023,99.41,5.13,69.34,3.39,25.74
RAM,2023,96.61,3.42,58.67,1.56,35.31
RAV,2023,99.0,0.47,78.12,12.7,7.07
SDG,2023,97.2,3.56,58.96,25.18,12.18
SEA,2023,95.63,3.17,73.84,10.49,10.41
SFO,2023,88.76,16.9,68.92,4.02,14.82
TAM,2023,99.5,1.67,57.13,4.9,36.29
WAS,2023,97.49,5.38,59.48,16.06,21.19
ATL,2024,99.11,2.7,86.08,6.3,5.82
BUF,2024,100.26,0.22,68.56,1.25,29.39
CAR,2024,102.34,-0.34,57.81,15.25,28.68
CHI,2024,99.73,2.12,80.25,6.65,11.9
CIN,2024,101.54,2.39,72.73,22.73,5.1
CLE,2024,97.38,16.46,51.11,29.08,16.64
CLT,2024,98.01,4.08,78.06,12.87,6.11
CRD,2024,100.9,5.02,64.56,22.95,12.59
DAL,2024,94.13,7.85,38.18,43.44,11.61
DEN,2024,98.72,2.39,58.94,3.8,34.88
DET,2024,91.79,9.26,59.38,16.21,15.37
GNB,2024,98.51,6.31,60.51,11.62,25.28
HTX,2024,99.3,2.26,70.84,11.17,16.3
JAX,2024,98.7,6.64,55.94,20.72,21.0
KAN,2024,97.9,0.85,86.52,3.74,6.66
MIA,2024,93.31,7.21,54.17,15.65,22.73
MIN,2024,98.89,3.98,64.38,6.01,27.56
NOR,2024,100.02,1.16,57.34,17.52,24.35
NWE,2024,89.9,14.27,50.9,12.64,23.88
NYG,2024,101.03,0.93,45.48,22.66,32.29
NYJ,2024,101.21,1.02,61.39,14.54,24.4
OTI,2024,96.0,6.07,55.62,13.22,26.41
PHI,2024,98.23,3.67,65.99,6.39,24.92
PIT,2024,97.03,3.89,71.5,12.48,12.03
RAI,2024,88.53,14.06,43.62,24.42,19.7
RAM,2024,99.69,1.21,82.01,2.6,14.04
RAV,2024,98.62,0.74,85.92,2.32,9.05
SDG,2024,101.74,1.54,71.83,5.09,23.85
SEA,2024,99.2,3.18,66.94,8.75,22.86
SFO,2024,96.71,19.76,54.11,29.93,11.92
TAM,2024,95.72,3.31,54.52,15.78,24.47
WAS,2024,94.22,9.4,72.92,1.74,18.49
